L;T;β;mq1;mq2;mπ;Δmπ;mπ0;Δmπ0;mρ;Δmρ;mρ0;Δmρ0;fπ;Δfπ;fπ0;Δfπ0;fρ;Δfρ;fρ0;Δfρ0;mAWI;ΔmAWI;P;ΔP
8;16;7.2;-0.78;-0.77;0.7830562136794245;0.04019250344722824;0.8217757848933105;0.03682918263690649;0.9070057973774355;0.005417787905828668;0.9009288488706025;0.005158370351946085;0.04041715080750957;0.002980327055732827;0.04301985837677873;0.0027611612232211423;0.1866789074319107;0.0019856061280097656;0.18549570009000788;0.0015217488447484093;0.07577159026192558;0.0020178880516044384;0.5899348400000001;0.00012629352592602596
8;16;7.2;-0.78;-0.78;0.6032956908345303;0.032512346846844904;0.6597103016317899;0.024984147807857206;0.8412830861471808;0.010280583281631355;0.8386443067575415;0.008468719720132582;0.039142366689293405;0.00252330949880625;0.04510359085898781;0.002145241818074235;0.1725827196903453;0.0029721308104640643;0.17174721457229142;0.0022524890212368013;0.07510357581158389;0.0021565394374069152;0.5901488700854701;0.00013275278129124606
16;32;7.2;-0.794;-0.79;0.3310307278482228;0.019355287841534317;0.3364314881938456;0.005854074184312944;0.46561859042509823;0.012411145905477575;0.4630228925026627;0.007125317965039738;0.05724622455980682;0.005707130018322449;0.056857082253133476;0.0012192064346390433;0.1119106916494376;0.00629089670916997;0.11399861215215061;0.003241221842940083;0.03237204453661833;0.00263748084108981;0.590358398019802;4.1888318149271464e-5
8;16;6.9;-0.87;-0.87;0.7817797504371968;0.004885647024675537;0.7760021589103453;0.004140312510818532;0.8975415939158655;0.0038151995806138795;0.8924357882255176;0.003137890890597793;0.1342812527672959;0.0018130967845130937;0.1321258214146415;0.00143546776210245;0.2357806644850928;0.002138903051896797;0.23187487357953862;0.0017214578404024976;0.15542737514720675;0.0026009196858517436;0.5507455861313868;0.00022741327937592535
8;16;6.9;-0.90;-0.90;0.6328678617305449;0.016535432034644297;0.6328678617305449;0.016535432034644297;0.7988479942273813;0.008523528442339551;0.7988479942273813;0.008523528442339551;0.09810393637128448;0.004363249041353872;0.09810393637128448;0.004363249041353872;0.2122474264220967;0.004518930471120977;0.2122474264220967;0.004518930471120977;NaN;NaN;0.558307360479042;0.00019717419610064215
8;16;7.05;-0.835;-0.835;0.6748884015741279;0.017823057763697296;0.6793201647796134;0.013474748913723973;0.8485078550014118;0.004398628754354162;0.8550752779488201;0.003783420078146897;0.051128985539614674;0.002087062525712917;0.05292618829317402;0.001521411619825197;0.1866055475705815;0.0018491310138923503;0.1885075790386883;0.0013543680625385576;0.0765056779210043;0.0018661146994213562;0.5770355378091874;0.00010816060554357356
10;20;6.9;-0.90;-0.90;0.568899641222249;0.006096095219747098;0.568899641222249;0.006096095219747098;0.7215659584267157;0.0050463065526001405;0.7215659584267157;0.0050463065526001405;0.10310009566555965;0.002413152382303245;0.10310009566555965;0.002413152382303245;0.20069443483556695;0.0032482930699613347;0.20069443483556695;0.0032482930699613347;NaN;NaN;0.5572429139107612;7.308652913472203e-5
10;20;7.05;-0.835;-0.835;0.48765836367365767;0.010505402923931139;0.5003252308631234;0.00793368943675749;0.6526285008567548;0.007502635187674334;0.6464670213375655;0.005538465892053871;0.07160099190716633;0.0025942247474082833;0.07569011100873836;0.0017220625014594806;0.16361832690358535;0.0034968551530801806;0.16276137853117595;0.0023872943937841558;0.060463322799407325;0.0026614570909945096;0.575939886;0.0001741883303340718
10;20;7.2;-0.78;-0.78;0.520600785051272;0.011805006387989429;0.5390168563316353;0.007827190981200164;0.6879218917380249;0.005078403962728615;0.6993881252376255;0.0038230352589675794;0.05077030910048382;0.002116471180622878;0.0562109849641921;0.0015575789909824756;0.1440859896976621;0.0022698424702933873;0.1486637252485526;0.0016985485434908546;0.060259979739501944;0.0020194724351525126;0.5867825461538463;0.0017402713343849928
10;20;6.9;-0.92;-0.92;0.3634559151339136;0.09918414702822627;0.3634559151339136;0.09918414702822627;0.6685166298438294;0.03437984553533475;0.6685166298438294;0.03437984553533475;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
