L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,P,ΔP
12,24,7.2,-0.78,-0.75,0.484207472412548,0.008873441995354,0.448798995386655,0.009251828700935,0.589954122841223,0.006156625284806,0.583386722828575,0.005018469188527,0.077459553787753,0.00332787298554,0.069316173150741,0.002374252068782,0.140709180706656,0.002855659734826,0.139290517406988,0.002119946330189,0.588141728333333,0.000114305480643
12,24,7.2,-0.78,-0.77,0.416420191862036,0.008751951081259,0.434204704162068,0.00720416054417,0.560879438927577,0.005106279569391,0.5638657474143,0.003769388043087,0.061102689126296,0.002145312425434,0.066007233786742,0.001677799056131,0.134433594532049,0.001880714528911,0.136926895457841,0.001352447508275,0.5890798475,8.05504154597538E-05
10,20,6.9,-0.92,-0.5,1.20768292322186,0.005661407145628,0.881686453598112,0.010102721680936,1.26696254035634,0.004123692281034,1.00054470609629,0.008926762604137,0.180045607414355,0.003915192380121,0.121606145962307,0.00313650931749,0.260142709833874,0.00296903776799,0.211630804126933,0.002371503795753,0.534962588888889,0.000331741475335
10,20,6.9,-0.92,-0.55,1.15696125291496,0.005331839724372,0.872707042029758,0.011344474068471,1.21995872643063,0.004820566867241,0.992972668976705,0.007353022643359,0.181018818280534,0.003619058506239,0.123373712822266,0.003250489811975,0.261119333896454,0.003395120060605,0.215175092028866,0.003186062094489,0.53653527037037,0.000273640157977
10,20,6.9,-0.92,-0.6,1.09748073723216,0.00499240363107,0.860665554800706,0.010732031080084,1.16789358831645,0.004309035251309,0.976529250592056,0.008677850831266,0.171465006579107,0.002774514920503,0.12671306723324,0.002993525047731,0.256154639773575,0.002667057404939,0.214587447130563,0.003324581176457,0.538195292592592,0.000400995082699
10,20,6.9,-0.92,-0.65,1.02974775964176,0.006872166428228,0.844439073809867,0.009299417040485,1.10711913164455,0.006926117251396,0.959885445102291,0.007172570881135,0.167804868933686,0.003067651876352,0.127322231217311,0.003052189526898,0.257567825096192,0.00334385321623,0.221052502430305,0.003197276613503,0.540495044444444,0.000306191996666
10,20,6.9,-0.92,-0.7,0.952751143338332,0.006534867343448,0.825057698437395,0.011918800731509,1.0463665430361,0.006207480515557,0.932674733116036,0.00844831104268,0.155745238557215,0.00350126705139,0.130268358835771,0.003384643342388,0.248629208926662,0.003855545184403,0.221999056460601,0.002944277856543,0.542234925925926,0.000362405160762
10,20,6.9,-0.92,-0.75,0.88641829990528,0.007315569729069,0.760430016002995,0.009391030603312,0.983722382115034,0.006017319851803,0.890897697617664,0.006070736781475,0.150149822399388,0.004575443541809,0.1257365813349,0.003871995810684,0.249474859325022,0.004745048642097,0.222861353839852,0.003323043303301,0.546163414814815,0.000508795071224
10,20,6.9,-0.92,-0.8,0.796704845175835,0.011306944192575,0.724045602057824,0.012882295437218,0.908802684690553,0.008010555310402,0.850848310450383,0.007474906861283,0.142042574507907,0.004030399461482,0.123513419940892,0.003074854982824,0.246422000083174,0.0043423226382,0.225095246298393,0.002830314047932,0.549835318518519,0.000344360151613
10,20,6.9,-0.92,-0.85,0.64764533145202,0.012057866872347,0.630633776545922,0.010735684555645,0.791802489352789,0.009796146304445,0.7907074727117,0.0083105800444,0.116956205626674,0.004812901469204,0.107383814099611,0.002953499172888,0.222285810976356,0.00584224914867,0.214768275908145,0.003421976452297,0.554504866666667,0.000325423479612
10,20,6.9,-0.92,-0.9,0.564798398982423,0.070735978123923,0.555207374665745,0.049136458124208,0.657907249776022,0.036524033174387,0.709036380421094,0.015504307311211,0.102267103104687,0.018346806259188,0.081786580351285,0.010358161366361,0.193656121231348,0.017333351310345,0.203437666934654,0.008148912836388,0.560653981481481,0.000393212116266
10,20,6.9,-0.92,-0.91,0.393851956640228,0.036780110349471,0.502981519984472,0.037167921823575,0.646702191086098,0.017383883729401,0.669844989602657,0.018830164379365,0.081216919110412,0.008828056277993,0.093134702059641,0.006770388360858,0.1948460547436,0.008187911763912,0.198451572559417,0.006428681250835,0.561113534615385,0.000387575363833
12,24,6.9,-0.92,-0.5,1.19320392912233,0.004888086030612,0.870477245730804,0.006566897463381,1.25245797486638,0.004394859016618,0.981394391000998,0.005662316322665,0.175097058950372,0.004280657599806,0.117910884339753,0.00348340732102,0.249377219560193,0.004039659133002,0.20122160800147,0.003836729104611,0.53491817037037,0.000300857195759
12,24,6.9,-0.92,-0.55,1.14419590646158,0.005946616398858,0.83901810249157,0.007817131213613,1.20568987584549,0.004433160816348,0.957165940130343,0.006518307833948,0.169509232143224,0.003350779375355,0.111595743708917,0.002928200919303,0.247191547799517,0.00361984451802,0.195073361161378,0.003616167263435,0.536523418518518,0.000204076897696
