L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,mAWI,ΔmAWI,P,ΔP
16,32,7.2,-0.794,-0.77,0.369778440257303,0.006943393852234,0.345061107192434,0.005763775948835,0.476757866883082,0.004517857741899,0.470371823333105,0.004099781753133,0.06353231172853,0.002739294630414,0.058027382517521,0.002044744616588,0.116844905970621,0.002494561171742,0.117353212641935,0.0023092610671,0.043236107443869,0.002772176326622,0.589464916923077,9.56496738703466E-05
16,32,7.2,-0.794,-0.78,0.324387407664778,0.008246711191494,0.331726800061525,0.006797739598741,0.433468895968594,0.006033658094192,0.4370753510089,0.010615995712957,0.059486045832681,0.002784767970674,0.061822225926997,0.001995884204428,0.106524718772504,0.002918810272272,0.110132459557096,0.005545969195619,0.039001099540367,0.002622852455017,0.589880095522388,5.50979070692093E-05
16,32,7.2,-0.794,-0.794,0.314807029683816,0.007498391453757,0.317341742453756,0.0051871357023,0.430156333658915,0.004975965713637,0.426002148695548,0.003494749102422,0.058532774668995,0.002787190859578,0.058900172973321,0.001755844227707,0.110293969516799,0.00296324993939,0.105698727443123,0.001927604037153,0.032151819870109,0.002328759781591,0.590316716417911,5.46082871045852E-05
12,24,6.9,-0.87,-0.5,1.26842226249404,0.001829384476333,1.00446519203422,0.002581196340269,1.32194691187884,0.001603537531432,1.09325286637907,0.002257455517332,0.185262634484031,0.001261855913815,0.131765325161163,0.001267134989173,0.258312865909689,0.001293886836602,0.207376030983048,0.001456353541314,0.399905523786778,0.005309891328147,0.530939559090909,0.000135053251145
12,24,6.9,-0.87,-0.55,1.21946970287056,0.001901808655738,0.992246706644154,0.00252630123326,1.27761040178349,0.001646227724245,1.08372633592997,0.00213073504364,0.179782587487088,0.001474285341219,0.133727062250043,0.00138579462863,0.25703361793585,0.001473752968851,0.212511360854098,0.001378502547211,0.360991826304628,0.005602286141365,0.53262896,0.000110152980758
12,24,6.9,-0.87,-0.6,1.17327797388552,0.002163805846815,0.97957218179828,0.002374810230166,1.2317053399048,0.001898905945462,1.07099372103047,0.001993399578582,0.180947767592289,0.001560220957022,0.13547290825108,0.001140419019288,0.258578691526545,0.001602210350043,0.215462031562232,0.001300390657606,0.333667006208826,0.005213138598695,0.53413346,0.000120801840154
12,24,6.9,-0.87,-0.65,1.11509781643348,0.002037446701741,0.957705265195115,0.002648015728879,1.18077074898332,0.001781466896321,1.05129270045192,0.002321298470715,0.176999371259476,0.001504954558157,0.135547261001554,0.001241113253117,0.259300377643527,0.001672587610553,0.217687059631676,0.001483680763956,0.299880029787815,0.005279811967195,0.536060759090909,0.000124228037168
12,24,6.9,-0.87,-0.7,1.04689931212698,0.002211771151548,0.939015574381724,0.003022173868735,1.11970713261211,0.001987278520657,1.03259281938979,0.001980448312894,0.166128708191402,0.00153510999137,0.137926930428491,0.001618645222242,0.251489737363259,0.001580405422122,0.222249930118943,0.001471792195006,0.260397093905445,0.004849980249609,0.538359849090909,0.000145911949168
12,24,6.9,-0.87,-0.75,0.980183498214561,0.002611459782588,0.910123873543542,0.003091225894934,1.05657726722346,0.00207206377931,1.00438211715139,0.002543339375026,0.161839512149843,0.001911617649846,0.140624417582614,0.001585697674477,0.248358905673906,0.001825237272375,0.229813536509622,0.001601552243706,0.225685842275057,0.005330778902012,0.541144875454545,0.000126802185967
12,24,6.9,-0.87,-0.8,0.896416019694729,0.003116224402028,0.869679846941618,0.002714013649081,0.986473187922636,0.003000759280646,0.966239520995207,0.002195311675243,0.151759894550302,0.001940417604154,0.143243748202798,0.001531581772662,0.244407676003032,0.002377400394948,0.235063992478913,0.001442182408226,0.187012229839452,0.004852135887704,0.544351368181818,0.000128013173034
12,24,6.9,-0.87,-0.83,0.828629872553324,0.004597503207465,0.817617526267296,0.00377466987683,0.925352713799596,0.004016508052386,0.913368772629837,0.00335544059283,0.142590340832929,0.002585588571306,0.138161235103576,0.002376276688656,0.233515610055008,0.002965432466082,0.228440172932312,0.002614031497397,0.163667968169656,0.00709492501231,0.547047688636364,0.000211034792138
12,24,6.9,-0.87,-0.84,0.812102297831887,0.00314747867361,0.80119699690594,0.003530663298103,0.912559093474939,0.002508624751463,0.90303263215097,0.003363347703712,0.142279762644066,0.002189850085568,0.137987921533942,0.001667015546571,0.236741509409967,0.00217981113617,0.230782643738785,0.002140046200464,0.156111659915245,0.004957136054669,0.547820838181818,0.000235909427983
12,24,6.9,-0.87,-0.85,0.789690407525651,0.003715302400837,0.786153148732984,0.002750452760697,0.888677198020898,0.002693177727352,0.886609532683912,0.002519359478433,0.138626453933055,0.00218506696141,0.135271980776323,0.001568409562794,0.229999174776204,0.002286803150776,0.226225821241812,0.001535455362102,0.149700964336933,0.004343921536581,0.54850967,0.000138799657057
12,24,6.9,-0.87,-0.86,0.770062295615433,0.003658039228326,0.763596183344809,0.003161897589995,0.871650378417975,0.002812890365781,0.871204850553494,0.002505844979261,0.134453538994579,0.001974669731446,0.134153559243162,0.001861799317399,0.22690533922766,0.002246400590602,0.228807788719425,0.001966204346854,0.137304785785332,0.004598556520797,0.549650199090909,0.00012693685818
12,24,6.9,-0.87,-0.87,0.741671531905622,0.002546626109001,0.742540323314448,0.001900362508637,0.848113745991186,0.001960398484682,0.851041580114014,0.001683286899191,0.130831207390384,0.001469800252334,0.130337981397883,0.000940988123697,0.223725649433638,0.001459519115977,0.224146027320664,0.001126931708851,0.129495746230564,0.002860551954228,0.550406171478873,0.000183619343132
